index,time_ms,time_s,position_m,velocity_mps,accel_mps2,current_A
192,1910,1.9100,0.000000,0.00000,0.0000,3.5897
193,1920,1.9200,0.000000,0.00000,0.0000,4.6139
194,1930,1.9300,0.000000,0.00000,0.0000,4.6016
195,1940,1.9400,0.000000,0.00000,0.0000,3.9973
196,1950,1.9500,0.000000,0.00000,0.0000,3.4234
197,1960,1.9600,0.000000,0.00000,0.0000,3.5409
198,1970,1.9700,0.000000,0.00000,0.0000,4.8169
199,1980,1.9800,0.000000,0.00000,0.0000,4.2018
200,1990,1.9900,0.000000,0.00000,0.0000,-0.7540
201,2000,2.0000,0.000000,0.00000,0.0000,-17.8648
202,2010,2.0100,0.000000,0.00000,0.0000,-11.4347
203,2020,2.0200,0.000000,0.00000,0.0000,-7.6923
204,2030,2.0300,0.000000,0.00000,0.0000,-6.2546
205,2040,2.0400,0.000000,0.00000,0.0000,-3.1883
206,2050,2.0500,0.000000,0.00000,0.0000,-1.5201
207,2060,2.0600,0.000000,0.00000,0.0000,-0.5998
208,2070,2.0700,0.000000,0.00000,0.0000,-0.2106
209,2080,2.0800,0.000000,0.00000,0.0000,0.2885
210,2090,2.0900,0.000000,0.00000,0.0000,-0.0092
211,2100,2.1000,0.000000,0.00000,0.0000,-0.2579
212,2110,2.1100,0.000000,0.00000,0.0000,-0.2015
213,2120,2.1200,0.000000,0.00000,0.0000,-0.1954
214,2130,2.1300,0.000000,0.00000,0.0000,-0.1938
215,2140,2.1400,0.000000,0.00000,0.0000,-0.2060
216,2150,2.1500,0.000000,0.00000,0.0000,-0.1221
217,2160,2.1600,0.000000,0.00000,0.0000,-0.2320
218,2170,2.1700,0.000000,0.00000,0.0000,-0.0717
219,2180,2.1800,0.000000,0.00000,0.0000,-0.1618
220,2190,2.1900,0.000000,0.00000,0.0000,-0.1389
221,2200,2.2000,0.000000,0.00000,0.0000,-0.1526
222,2210,2.2100,0.000000,0.00000,0.0000,-0.0656
223,2220,2.2200,0.000000,0.00000,0.0000,-0.1236
224,2230,2.2300,0.000000,0.00000,0.0000,-0.1313
225,2240,2.2400,0.000000,0.00000,0.0000,-0.1572
226,2250,2.2500,0.000000,0.00000,0.0000,-0.1587
227,2260,2.2600,0.000000,0.00000,0.0000,-0.1068
228,2270,2.2700,0.000000,0.00000,0.0000,-0.1786
229,2280,2.2800,0.000000,0.00000,0.0000,-0.1969
230,2290,2.2900,0.000000,0.00000,0.0000,-0.1755
231,2300,2.3000,0.000000,0.00000,0.0000,-0.1145
232,2310,2.3100,0.000000,0.00000,0.0000,-0.1847
233,2320,2.3200,0.000000,0.00000,0.0000,-0.2091
234,2330,2.3300,0.000000,0.00000,0.0000,-0.1465
235,2340,2.3400,0.000000,0.00000,0.0000,-0.1862
236,2350,2.3500,0.000000,0.00000,0.0000,-0.1389
237,2360,2.3600,0.000000,0.00000,0.0000,-0.1633
238,2370,2.3700,0.000000,0.00000,0.0000,-0.0885
239,2380,2.3800,0.000000,0.00000,0.0000,-0.1969
240,2390,2.3900,0.000000,0.00000,0.0000,-0.1480
241,2400,2.4000,0.000000,0.00000,0.0000,-0.1282
