time_s,t_us,pcnt_count,d_pcnt,dpos_m,position_m,dir_m1_0_p1,adc_a,adc_b
2.909843,25286431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.919843,25296431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.929843,25306431,-2,0,0.00000000,-0.00026599,0,4095,4095
2.939839,25316427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.949839,25326427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.959839,25336427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.969839,25346427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.979839,25356427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.989839,25366427,-2,0,0.00000000,-0.00026599,0,4095,4095
2.999839,25376427,-2,0,0.00000000,-0.00026599,0,4095,4095
3.009839,25386427,-2,0,0.00000000,-0.00026599,0,4095,4095
3.019839,25396427,-2,0,0.00000000,-0.00026599,0,4095,4095
3.029839,25406427,-2,0,0.00000000,-0.00026599,0,4095,4095
3.039839,25416427,-2,0,0.00000000,-0.00026599,0,4095,4095
3.049839,25426427,-2,0,0.00000000,-0.00026599,0,4095,4095
3.059839,25436427,-2,0,0.00000000,-0.00026599,0,4095,4095
3.069839,25446427,-2,0,0.00000000,-0.00026599,0,4095,4095
3.079839,25456427,-2,0,0.00000000,-0.00026599,0,4095,4095
3.089843,25466431,-2,0,0.00000000,-0.00026599,0,4095,4095
3.099843,25476431,-2,0,0.00000000,-0.00026599,0,4095,4095
3.109839,25486427,-2,0,0.00000000,-0.00026599,0,4095,4095
3.119839,25496427,-2,0,0.00000000,-0.00026599,0,4095,4095
3.129839,25506427,-2,0,0.00000000,-0.00026599,0,4095,4095
3.139843,25516431,-2,0,0.00000000,-0.00026599,0,4095,4095
3.149843,25526431,-2,0,0.00000000,-0.00026599,0,4095,4095
3.159843,25536431,-2,0,0.00000000,-0.00026599,0,4095,4095
3.169843,25546431,-2,0,0.00000000,-0.00026599,0,4095,4095
