time_s,t_us,pcnt_count,d_pcnt,dpos_m,position_m,dir_m1_0_p1
2.869834,24342380,0,0,0.00000000,0.00000000,0
2.879834,24352380,0,0,0.00000000,0.00000000,0
2.889834,24362380,0,0,0.00000000,0.00000000,0
2.899834,24372380,0,0,0.00000000,0.00000000,0
2.909834,24382380,0,0,0.00000000,0.00000000,0
2.919834,24392380,0,0,0.00000000,0.00000000,0
2.929834,24402380,0,0,0.00000000,0.00000000,0
2.939834,24412380,0,0,0.00000000,0.00000000,0
2.949834,24422380,0,0,0.00000000,0.00000000,0
2.959834,24432380,0,0,0.00000000,0.00000000,0
2.969834,24442380,0,0,0.00000000,0.00000000,0
2.979834,24452380,0,0,0.00000000,0.00000000,0
2.989834,24462380,0,0,0.00000000,0.00000000,0
2.999834,24472380,0,0,0.00000000,0.00000000,0
3.009834,24482380,0,0,0.00000000,0.00000000,0
3.019834,24492380,0,0,0.00000000,0.00000000,0
3.029834,24502380,0,0,0.00000000,0.00000000,0
3.039834,24512380,0,0,0.00000000,0.00000000,0
3.049834,24522380,0,0,0.00000000,0.00000000,0
3.059834,24532380,0,0,0.00000000,0.00000000,0
3.069834,24542380,0,0,0.00000000,0.00000000,0
3.079834,24552380,0,0,0.00000000,0.00000000,0
3.089834,24562380,0,0,0.00000000,0.00000000,0
3.099834,24572380,0,0,0.00000000,0.00000000,0
3.109834,24582380,0,0,0.00000000,0.00000000,0
3.119834,24592380,0,0,0.00000000,0.00000000,0
3.129834,24602380,0,0,0.00000000,0.00000000,0
3.139834,24612380,0,0,0.00000000,0.00000000,0
3.149834,24622380,0,0,0.00000000,0.00000000,0
3.159834,24632380,0,0,0.00000000,0.00000000,0
3.169834,24642380,0,0,0.00000000,0.00000000,0
3.179834,24652380,0,0,0.00000000,0.00000000,0
3.189834,24662380,0,0,0.00000000,0.00000000,0
3.199834,24672380,0,0,0.00000000,0.00000000,0
3.209834,24682380,0,0,0.00000000,0.00000000,0
3.219834,24692380,0,0,0.00000000,0.00000000,0
3.229834,24702380,0,0,0.00000000,0.00000000,0
3.239834,24712380,0,0,0.00000000,0.00000000,0
3.249834,24722380,0,0,0.00000000,0.00000000,0
3.259834,24732380,0,0,0.00000000,0.00000000,0
3.269834,24742380,0,0,0.00000000,0.00000000,0
3.279834,24752380,0,0,0.00000000,0.00000000,0
3.289834,24762380,0,0,0.00000000,0.00000000,0
3.299834,24772380,0,0,0.00000000,0.00000000,0
3.309834,24782380,0,0,0.00000000,0.00000000,0
